boundary,states,,,,,,,,,,,,
feature,State of Nevada,,,,,,,,,,,,
center,"-117.0227, 38.502",,,,,,,,,,,,
scenario,High (RCP 8.5),,,,,,,,,,,,
climate indicator,Precipitation,,,,,,,,,,,,
units,inch,,,,,,,,,,,,
,,,,,CanESM2 (Average),,,,CNRM-CM5 (Cool/Wet),,,HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
year,ModeledRCP8.5RangeMin,ModeledRCP8.5RangeMax,Observed,ACCESS1-0,CanESM2  ,CCSM4,CESM1-BGC,CMCC-CMS,CNRM-CM5  ,GFDL-CM3,HadGEM2-CC,HadGEM2-ES  ,MIROC5  
2079,4.98748691,22.38983055,,11.29643431,21.98595184,14.00346594,15.21107869,16.80250866,15.90725243,8.759262408,5.16994917,11.90876674,11.4121565
2080,6.438152683,20.68417077,,10.53671306,17.52270194,9.787679604,15.14461595,11.68124758,18.74079971,10.31602099,10.39828824,10.37230762,11.33469583
2081,5.685531781,19.4786599,,8.696786818,10.9628069,14.48416904,12.86181802,14.91781477,14.3438584,8.185974538,15.03913219,12.12315449,12.41635742
2082,5.761062144,23.2005668,,10.0978326,23.00120544,9.531968138,9.288332828,11.07900111,13.94162154,9.927430855,9.740675941,9.732971375,11.03093192
2083,4.611003025,26.20863239,,9.631588975,25.63315952,11.15821721,11.55766602,13.83924882,9.700682855,9.512132505,12.1764914,7.496013103,15.31418765
2084,4.571189501,22.13730123,,7.456476532,20.3203809,16.22935372,12.62688003,5.000292403,7.596705662,11.06053768,11.12024728,7.730134732,7.74448325
2085,5.489809255,22.89878866,,11.1478669,20.32827923,11.96249551,21.6168956,12.82106158,13.62241411,11.88588679,6.503382025,9.362682598,9.52990848
2086,5.474711212,20.63982724,,9.189214487,19.02608304,12.20030637,12.73294058,11.6957081,14.58801877,10.28227039,10.6061008,14.65348338,6.912587212
2087,5.961367537,20.52214362,,8.724966169,15.4863453,13.99716947,18.44057037,13.47178365,17.25721069,12.42407779,9.39323047,13.91324009,8.895807193
2088,5.630939939,25.89540051,,8.140574818,12.74053013,13.71723063,16.07342582,18.48138638,11.13727141,9.98150786,11.68431953,11.72412551,13.44613194
2089,5.504761662,23.80064738,,13.07634349,22.35604469,6.576250297,9.662429869,12.28538305,19.2693547,9.177557701,9.244331056,11.02794294,8.149959622
2090,5.725659808,24.66708285,,9.883528473,23.39911742,10.6256756,13.69565107,9.324078994,21.41225181,6.64638866,14.1218903,15.10916215,13.15733129
2091,5.665169928,19.98960314,,10.03862044,13.26978783,11.37554989,18.22555478,10.46788709,15.90517244,12.13258109,7.90290116,16.1412206,14.78212142
2092,5.150103632,20.86707122,,10.7654422,16.56972084,9.916321321,14.3370958,11.87346006,17.55446408,7.829643544,10.67095967,13.16770842,7.494295898
2093,5.605450161,24.15164532,,11.04904213,19.7051109,17.86340478,12.44720168,12.92829215,7.935263082,11.51629305,14.2050462,7.856201673,6.71710522
2094,4.766074407,20.55285804,,10.84778368,18.54368269,14.95120541,9.096078678,11.55615966,15.24657753,10.89829534,11.53994315,10.80130104,7.805760608
2095,6.328671235,19.89939313,,9.930564417,17.79118752,6.961645584,14.06381975,12.45712062,15.8763043,14.85799959,14.99768805,11.3727088,9.632111801
2096,4.110371125,19.6407835,,9.173807678,9.773135203,7.492562924,14.67823177,8.235291739,11.05268632,9.829025526,13.6932417,10.61392347,9.249342831
2097,3.864694789,22.79314463,,15.59266685,17.46954777,12.28967176,17.1021334,12.36599819,10.58116907,6.571129894,11.4786837,16.7487562,15.91224694
2098,5.144737379,21.19623916,,9.968917924,20.71340409,7.712998011,15.3348318,13.44587741,13.64788451,11.72542429,12.88724549,10.4287262,8.494363038
2099,4.881284503,19.13455684,,10.91417426,16.79427561,9.682970135,13.87750633,9.161851568,14.47880985,8.102434725,11.96067073,9.862884292,7.772429246
2100,4.465887055,21.40236221,,9.335142947,16.57222622,12.87227673,15.22939439,13.9835027,9.587775762,14.82076175,14.62001485,,
