"","year","model","temp","scenario"
"279",1982,"HadGEM2.CC",64.33380127,"hist"
"280",1983,"HadGEM2.CC",62.87400055,"hist"
"281",1984,"HadGEM2.CC",65.82151794,"hist"
"282",1985,"HadGEM2.CC",63.79069519,"hist"
"283",1986,"HadGEM2.CC",63.54229736,"hist"
"284",1987,"HadGEM2.CC",63.99131012,"hist"
"285",1988,"HadGEM2.CC",66.46136475,"hist"
"286",1989,"HadGEM2.CC",63.75971603,"hist"
"287",1990,"HadGEM2.CC",63.50944519,"hist"
"288",1991,"HadGEM2.CC",64.96228027,"hist"
"289",1960,"HadGEM2.ES",64.19619751,"hist"
"290",1961,"HadGEM2.ES",63.73796082,"hist"
"291",1962,"HadGEM2.ES",63.46522522,"hist"
"292",1963,"HadGEM2.ES",62.18988037,"hist"
"293",1964,"HadGEM2.ES",62.76611328,"hist"
"294",1965,"HadGEM2.ES",64.72865295,"hist"
"295",1966,"HadGEM2.ES",65.89337158,"hist"
"296",1967,"HadGEM2.ES",61.53020477,"hist"
"297",1968,"HadGEM2.ES",62.35456467,"hist"
"298",1969,"HadGEM2.ES",61.33744812,"hist"
"299",1970,"HadGEM2.ES",63.80234528,"hist"
"300",1971,"HadGEM2.ES",63.99158478,"hist"
"301",1972,"HadGEM2.ES",66.21966553,"hist"
"302",1973,"HadGEM2.ES",64.44943237,"hist"
"303",1974,"HadGEM2.ES",64.7618866,"hist"
"304",1975,"HadGEM2.ES",65.05999756,"hist"
"305",1976,"HadGEM2.ES",63.20161057,"hist"
"306",1977,"HadGEM2.ES",63.55553436,"hist"
"307",1978,"HadGEM2.ES",63.79910278,"hist"
"308",1979,"HadGEM2.ES",62.20575714,"hist"
"309",1980,"HadGEM2.ES",64.09221649,"hist"
"310",1981,"HadGEM2.ES",62.71348572,"hist"
"311",1982,"HadGEM2.ES",63.49263763,"hist"
"312",1983,"HadGEM2.ES",63.26945114,"hist"
"313",1984,"HadGEM2.ES",64.17988586,"hist"
"314",1985,"HadGEM2.ES",62.49694824,"hist"
"315",1986,"HadGEM2.ES",67.19024658,"hist"
"316",1987,"HadGEM2.ES",64.68014526,"hist"
"317",1988,"HadGEM2.ES",63.8714447,"hist"
"318",1989,"HadGEM2.ES",63.73829269,"hist"
"319",1990,"HadGEM2.ES",64.32414246,"hist"
"320",1991,"HadGEM2.ES",64.1950531,"hist"
"321",1960,"MIROC5",64.10182953,"hist"
"322",1961,"MIROC5",63.82074738,"hist"
"323",1962,"MIROC5",65.92451477,"hist"
"324",1963,"MIROC5",66.36791992,"hist"
"325",1964,"MIROC5",64.6264801,"hist"
"326",1965,"MIROC5",63.76399994,"hist"
"327",1966,"MIROC5",61.05751801,"hist"
"328",1967,"MIROC5",64.36528015,"hist"
"329",1968,"MIROC5",64.5584259,"hist"
"330",1969,"MIROC5",63.54163742,"hist"
"331",1970,"MIROC5",63.69550323,"hist"
"332",1971,"MIROC5",59.67900848,"hist"
"333",1972,"MIROC5",63.74213791,"hist"
"334",1973,"MIROC5",63.96961212,"hist"
"335",1974,"MIROC5",62.50936127,"hist"
"336",1975,"MIROC5",63.11190796,"hist"
"337",1976,"MIROC5",61.23368454,"hist"
"338",1977,"MIROC5",64.64801025,"hist"
"339",1978,"MIROC5",64.43125916,"hist"
"340",1979,"MIROC5",63.49510956,"hist"
"341",1980,"MIROC5",63.95378876,"hist"
"342",1981,"MIROC5",62.82428741,"hist"
"343",1982,"MIROC5",63.19046021,"hist"
"344",1983,"MIROC5",61.27889252,"hist"
"345",1984,"MIROC5",64.36973572,"hist"
"346",1985,"MIROC5",61.92675781,"hist"
"347",1986,"MIROC5",62.83301926,"hist"
"348",1987,"MIROC5",62.18543243,"hist"
"349",1988,"MIROC5",65.68067932,"hist"
"350",1989,"MIROC5",65.17519379,"hist"
"351",1990,"MIROC5",63.36684418,"hist"
"352",1991,"MIROC5",64.3555603,"hist"
"353",2035,"ACCESS1.0",69.24633789,"rcp45"
"354",2036,"ACCESS1.0",70.07784271,"rcp45"
"355",2037,"ACCESS1.0",68.30041504,"rcp45"
"356",2038,"ACCESS1.0",65.8155365,"rcp45"
"357",2039,"ACCESS1.0",66.69306946,"rcp45"
"358",2040,"ACCESS1.0",66.86367798,"rcp45"
"359",2041,"ACCESS1.0",67.85338593,"rcp45"
"360",2042,"ACCESS1.0",66.67180634,"rcp45"
"361",2043,"ACCESS1.0",67.99581909,"rcp45"
"362",2044,"ACCESS1.0",68.96229553,"rcp45"
"363",2045,"ACCESS1.0",68.21440125,"rcp45"
"364",2046,"ACCESS1.0",66.83830261,"rcp45"
"365",2047,"ACCESS1.0",70.73949432,"rcp45"
"366",2048,"ACCESS1.0",69.8427887,"rcp45"
"367",2049,"ACCESS1.0",68.8168869,"rcp45"
"368",2050,"ACCESS1.0",69.6322937,"rcp45"
"369",2051,"ACCESS1.0",69.9466095,"rcp45"
"370",2052,"ACCESS1.0",68.27734375,"rcp45"
"371",2053,"ACCESS1.0",69.49941254,"rcp45"
"372",2054,"ACCESS1.0",69.76626587,"rcp45"
"373",2055,"ACCESS1.0",68.52668762,"rcp45"
"374",2056,"ACCESS1.0",68.3529892,"rcp45"
"375",2057,"ACCESS1.0",68.28503418,"rcp45"
"376",2058,"ACCESS1.0",69.37597656,"rcp45"
"377",2059,"ACCESS1.0",68.94190979,"rcp45"
"378",2060,"ACCESS1.0",71.15159607,"rcp45"
"379",2061,"ACCESS1.0",71.19548035,"rcp45"
"380",2062,"ACCESS1.0",69.90629578,"rcp45"
"381",2063,"ACCESS1.0",68.61155701,"rcp45"
"382",2064,"ACCESS1.0",68.67175293,"rcp45"
"383",2035,"CanESM2",67.64233398,"rcp45"
"384",2036,"CanESM2",69.43969727,"rcp45"
"385",2037,"CanESM2",68.61281586,"rcp45"
"386",2038,"CanESM2",69.76280975,"rcp45"
"387",2039,"CanESM2",69.33934021,"rcp45"
"388",2040,"CanESM2",67.57218933,"rcp45"
"389",2041,"CanESM2",69.35274506,"rcp45"
"390",2042,"CanESM2",67.41711426,"rcp45"
"391",2043,"CanESM2",69.66470337,"rcp45"
"392",2044,"CanESM2",68.65005493,"rcp45"
"393",2045,"CanESM2",69.73138428,"rcp45"
"394",2046,"CanESM2",68.84786987,"rcp45"
"395",2047,"CanESM2",68.86390686,"rcp45"
"396",2048,"CanESM2",68.55975342,"rcp45"
"397",2049,"CanESM2",69.32363129,"rcp45"
"398",2050,"CanESM2",68.57376099,"rcp45"
"399",2051,"CanESM2",69.41404724,"rcp45"
"400",2052,"CanESM2",68.34507751,"rcp45"
"401",2053,"CanESM2",70.39974213,"rcp45"
"402",2054,"CanESM2",70.07592011,"rcp45"
"403",2055,"CanESM2",70.83869934,"rcp45"
"404",2056,"CanESM2",69.61289978,"rcp45"
"405",2057,"CanESM2",69.42058563,"rcp45"
"406",2058,"CanESM2",70.6865387,"rcp45"
"407",2059,"CanESM2",70.26686096,"rcp45"
"408",2060,"CanESM2",69.43777466,"rcp45"
"409",2061,"CanESM2",69.65866089,"rcp45"
"410",2062,"CanESM2",71.21003723,"rcp45"
"411",2063,"CanESM2",70.10014343,"rcp45"
"412",2064,"CanESM2",71.52891541,"rcp45"
"413",2035,"CCSM4",68.66621399,"rcp45"
"414",2036,"CCSM4",67.10362244,"rcp45"
"415",2037,"CCSM4",71.9747467,"rcp45"
"416",2038,"CCSM4",69.50001526,"rcp45"
"417",2039,"CCSM4",66.45449829,"rcp45"
"418",2040,"CCSM4",65.9506073,"rcp45"
"419",2041,"CCSM4",69.03034973,"rcp45"
"420",2042,"CCSM4",68.69087219,"rcp45"
"421",2043,"CCSM4",68.11601257,"rcp45"
"422",2044,"CCSM4",71.57797241,"rcp45"
"423",2045,"CCSM4",68.10387421,"rcp45"
"424",2046,"CCSM4",71.32506561,"rcp45"
