boundary,states,,,,,,,,,,,,
feature,State of Nevada,,,,,,,,,,,,
center,"-117.0227, 38.502",,,,,,,,,,,,
scenario,Medium (RCP 4.5),,,,,,,,,,,,
climate indicator,Minimum Temperature,,,,,,,,,,,,
units,°F,,,,,,,,,,,,
,,,,,CanESM2 (Average),,,,CNRM-CM5 (Cool/Wet),,,HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
year,ModeledRCP4.5RangeMin,ModeledRCP4.5RangeMax,Observed,ACCESS1-0,CanESM2,CCSM4,CESM1-BGC,CMCC-CMS,CNRM-CM5,GFDL-CM3,HadGEM2-CC,HadGEM2-ES,MIROC5 
2011,32.26356125,37.49365997,,34.81200409,34.90583038,32.92477417,36.94384766,32.61116791,35.45442963,34.20380402,34.88116455,35.30100632,36.29768753
2012,31.79224777,38.30598831,,35.53957367,35.22904587,36.27950287,37.27607346,33.56489182,34.403862,34.97229767,33.9937439,36.78960037,35.18883514
2013,30.64763832,37.32089996,,36.21924591,36.30988312,35.85466385,34.44742584,34.84430695,35.63285065,35.95090485,33.41146851,35.76551056,35.70783234
2014,31.72644043,37.87680817,,35.70436859,36.98427582,37.20916748,36.64490891,31.99263954,36.6580925,34.50252151,33.90777588,36.65941238,36.32119751
2015,32.17869186,38.84876633,,35.47393036,37.72211838,35.38499832,36.2772522,34.48812866,33.78357697,34.73724365,35.12429047,34.87819672,38.00188446
2016,31.84135818,37.97255325,,35.76105881,37.24965286,33.22948074,35.17850876,33.79000092,35.24893188,32.09942627,35.8218689,36.57278442,35.53210449
2017,32.13925171,38.45902634,,36.64320755,34.94741058,36.94818878,35.57852173,35.21300507,37.04602051,35.62345505,35.51255035,37.62911987,34.88242722
2018,32.81551361,38.81624603,,35.981884,35.38889694,35.25909424,35.72953033,36.05933762,35.89157867,33.40493011,35.19872284,36.83475494,33.65860748
2019,32.65110397,38.61635208,,35.07007599,35.49557495,36.81997681,36.34355545,35.96661377,34.84353638,33.59647751,37.39582443,36.14739227,35.26436615
2020,32.50580978,38.70808792,,35.019207,35.97902679,35.43849945,36.2957077,36.95917511,35.04321289,34.80541229,38.14514923,34.36442184,36.17008209
2021,32.2921257,38.74274826,,32.52695847,36.67775726,34.01593781,35.82027435,35.56731415,33.6973877,35.56956863,37.78666306,34.12629318,35.21520233
2022,32.07717896,39.25163651,,34.96054077,36.18167114,32.16715622,35.67432404,37.31837082,34.59035492,35.35462189,35.20558929,36.18601227,34.93038177
2023,31.80521202,38.31164551,,36.01819611,36.36805344,34.92890167,35.8379097,36.06972122,35.6864624,36.85068512,34.41737747,37.06002808,32.52679443
2024,31.49995804,40.29105377,,35.71294022,35.4731636,34.92818451,36.69544601,35.18131256,36.65682983,36.13651657,35.75534821,36.55482101,33.88739777
2025,33.35791016,38.38448334,,35.4042778,35.93678665,34.29971313,35.52501678,35.99583817,35.09006882,37.27618408,35.97672272,36.05082321,35.39735794
2026,33.01293945,39.73981476,,36.63870239,37.62384796,34.18979645,37.88240814,36.46588898,38.23111725,36.09493256,35.59137726,35.67536545,38.54279709
2027,32.1047554,39.20911789,,36.12327957,36.08070755,39.1954422,34.9389534,35.94107056,37.4291687,37.42900467,37.27338409,34.61386871,35.54561615
2028,33.63256836,38.80498505,,36.09224319,38.59866333,35.57736969,34.86402512,33.85130692,35.15598679,37.53315353,35.91937256,35.56544876,35.02602005
2029,34.14068604,39.08760834,,35.65350342,38.99230194,37.49563599,36.7411499,37.04052734,35.88405228,36.95801926,36.28203201,34.79453659,35.48069
2030,33.27770996,40.5771904,,35.88723755,37.60824585,38.71874237,34.41374969,35.70832443,40.48732376,36.56976318,35.28051758,34.49625778,35.41856003
2031,31.46397781,38.78565216,,38.07329559,38.2804985,37.63214111,38.10416794,36.49780273,38.38031006,37.47536469,34.54701614,36.00314331,35.99578094
2032,32.02488327,39.60385895,,37.69739914,38.06330109,38.36778641,36.62447357,37.32814789,35.19471359,36.98894501,35.47409821,37.69899368,37.43801117
2033,32.0226326,40.00925446,,32.85319901,38.74912262,36.30252075,36.55877686,37.11270905,38.37525558,36.38063431,36.9044075,36.70055389,37.01234818
2034,32.22401047,38.53027344,,36.45286942,37.51052094,35.84977341,37.55600739,35.70079803,38.024189,37.22202301,35.03717041,36.3051033,35.9276123
