"","year","model","precip","scenario","precipcm"
"229",1964,"GFDL.CM3",10.1027047,"hist",25.660869938
"230",1965,"GFDL.CM3",12.68256105,"hist",32.213705067
"231",1966,"GFDL.CM3",9.816379058,"hist",24.93360280732
"232",1967,"GFDL.CM3",11.89543534,"hist",30.2144057636
"233",1968,"GFDL.CM3",10.43503705,"hist",26.504994107
"234",1969,"GFDL.CM3",15.20078372,"hist",38.6099906488
"235",1970,"GFDL.CM3",10.78918469,"hist",27.4045291126
"236",1971,"GFDL.CM3",8.149271926,"hist",20.69915069204
"237",1972,"GFDL.CM3",7.144538612,"hist",18.14712807448
"238",1973,"GFDL.CM3",6.584579305,"hist",16.7248314347
"239",1974,"GFDL.CM3",12.01998002,"hist",30.5307492508
"240",1975,"GFDL.CM3",12.45134362,"hist",31.6264127948
"241",1976,"GFDL.CM3",6.059405122,"hist",15.39088900988
"242",1977,"GFDL.CM3",7.567678188,"hist",19.22190259752
"243",1978,"GFDL.CM3",7.541156522,"hist",19.15453756588
"244",1979,"GFDL.CM3",14.75445136,"hist",37.4763064544
"245",1980,"GFDL.CM3",15.93309081,"hist",40.4700506574
"246",1981,"GFDL.CM3",8.815676991,"hist",22.39181955714
"247",1982,"GFDL.CM3",10.77807555,"hist",27.376311897
"248",1983,"GFDL.CM3",12.16961228,"hist",30.9108151912
"249",1984,"GFDL.CM3",11.87455952,"hist",30.1613811808
"250",1985,"GFDL.CM3",9.350753121,"hist",23.75091292734
"251",1986,"GFDL.CM3",11.05032719,"hist",28.0678310626
"252",1987,"GFDL.CM3",10.66789661,"hist",27.0964573894
"253",1988,"GFDL.CM3",13.12610659,"hist",33.3403107386
"254",1989,"GFDL.CM3",14.76532222,"hist",37.5039184388
"255",1990,"GFDL.CM3",7.816180372,"hist",19.85309814488
"256",1991,"GFDL.CM3",10.92661248,"hist",27.7535956992
"257",1960,"HadGEM2.CC",10.7939637,"hist",27.416667798
"258",1961,"HadGEM2.CC",14.12772833,"hist",35.8844299582
"259",1962,"HadGEM2.CC",9.685522142,"hist",24.60122624068
"260",1963,"HadGEM2.CC",11.34285373,"hist",28.8108484742
"261",1964,"HadGEM2.CC",9.906796427,"hist",25.16326292458
"262",1965,"HadGEM2.CC",14.0346354,"hist",35.647973916
"263",1966,"HadGEM2.CC",11.50215762,"hist",29.2154803548
"264",1967,"HadGEM2.CC",14.12176273,"hist",35.8692773342
"265",1968,"HadGEM2.CC",13.12314901,"hist",33.3327984854
"266",1969,"HadGEM2.CC",9.020285807,"hist",22.91152594978
"267",1970,"HadGEM2.CC",13.33950955,"hist",33.882354257
"268",1971,"HadGEM2.CC",11.65409573,"hist",29.6014031542
"269",1972,"HadGEM2.CC",9.54863633,"hist",24.2535362782
"270",1973,"HadGEM2.CC",7.745120529,"hist",19.67260614366
"271",1974,"HadGEM2.CC",8.651125099,"hist",21.97385775146
"272",1975,"HadGEM2.CC",14.77386355,"hist",37.525613417
"273",1976,"HadGEM2.CC",6.378637862,"hist",16.20174016948
"274",1977,"HadGEM2.CC",11.87753855,"hist",30.168947917
"275",1978,"HadGEM2.CC",10.16776551,"hist",25.8261243954
"276",1979,"HadGEM2.CC",8.376659079,"hist",21.27671406066
"277",1980,"HadGEM2.CC",11.1023807,"hist",28.200046978
"278",1981,"HadGEM2.CC",8.122120744,"hist",20.63018668976
"279",1982,"HadGEM2.CC",10.63559907,"hist",27.0144216378
"280",1983,"HadGEM2.CC",7.634837167,"hist",19.39248640418
"281",1984,"HadGEM2.CC",9.288087298,"hist",23.59174173692
"282",1985,"HadGEM2.CC",15.36012827,"hist",39.0147258058
"283",1986,"HadGEM2.CC",12.99657073,"hist",33.0112896542
"284",1987,"HadGEM2.CC",12.93782603,"hist",32.8620781162
"285",1988,"HadGEM2.CC",7.47756106,"hist",18.9930050924
"286",1989,"HadGEM2.CC",11.78738048,"hist",29.9399464192
"287",1990,"HadGEM2.CC",9.80275182,"hist",24.8989896228
"288",1991,"HadGEM2.CC",8.538490151,"hist",21.68776498354
"289",1960,"HadGEM2.ES",12.34298978,"hist",31.3511940412
"290",1961,"HadGEM2.ES",11.41350817,"hist",28.9903107518
"291",1962,"HadGEM2.ES",12.09251687,"hist",30.7149928498
"292",1963,"HadGEM2.ES",6.534707895,"hist",16.5981580533
